Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Unixtime,Dividend Value,% Return of Company,Close Price of SP500,% Return of SP500,Beta,Rate,% YTD of Company,% YTD of SP500,Alpha,Lower Band,Upper Band,Band Area,Revenue,Income,Expenditure,Net Profit,EPS,year,Revenue last 2 quarters,Income last 2 quarters,Expenditure  last 2 quarters,Net Profit  last 2 quarters,EPS last 2 quarters,Revenue last 4 quarters,Income last 4 quarters,Expenditure  last 4 quarters,Net Profit  last 4 quarters,EPS last 4 quarters,Revenue last 8 quarters,Income last 8 quarters,Expenditure  last 8 quarters,Net Profit  last 8 quarters,EPS last 8 quarters,p/e,Next Day Open Price,Next Day High Price,Next Day Low Price,Next Day Close Price
2021-03-15,790.0,794.45,765.6,782.2,778.2114202993648,347469,9321,270404344.0,74713,21.5,28.85,-7.8,1615746600.0,0,,,,nan,0.04,3.7969828688315,,,714.85,811.9,97.04999999999995,,,,,,2021,48138.899999999994,48816.8,-40935.3,2744.7,11.69,88205.09999999999,88258.5,-77838.5,3746.6,15.95,147951.59999999998,147072.1,-130534.7,8450.2,35.620000000000005,,,,,
2021-03-16,789.0,789.0,770.8,777.1,777.3384507433224,129688,2981,100811469.0,14701,11.34,18.2,-11.9,1615833000.0,0,-0.6520071592942989,,,nan,0.02,4.478188135375105,,,714.85,811.9,97.04999999999995,,,,,,2021,48138.899999999994,48816.8,-40935.3,2744.7,11.69,88205.09999999999,88258.5,-77838.5,3746.6,15.95,147951.59999999998,147072.1,-130534.7,8450.2,35.620000000000005,,790.0,794.45,765.6,782.2
2021-03-17,779.5,779.5,729.65,732.6,749.3139045923734,265157,6571,198685827.0,60064,22.65,49.85,-46.9,1615919400.0,0,-5.726418736327366,,,nan,0.02,10.824460824460825,,,714.85,811.9,97.04999999999995,,,,,,2021,48138.899999999994,48816.8,-40935.3,2744.7,11.69,88205.09999999999,88258.5,-77838.5,3746.6,15.95,147951.59999999998,147072.1,-130534.7,8450.2,35.620000000000005,,789.0,789.0,770.8,777.1
2021-03-18,743.45,752.75,705.3,714.85,731.8651353394154,583459,8799,427013300.0,64728,11.09,47.45,-28.6,1616005800.0,0,-2.422877422877423,,,nan,0.01,13.576274742953064,,,714.85,811.9,97.04999999999995,,,,,,2021,48138.899999999994,48816.8,-40935.3,2744.7,11.69,88205.09999999999,88258.5,-77838.5,3746.6,15.95,147951.59999999998,147072.1,-130534.7,8450.2,35.620000000000005,,779.5,779.5,729.65,732.6
2021-03-19,709.4,756.75,690.1,751.9,724.9537852924094,721437,11260,523008484.0,88225,12.23,66.65,42.5,1616092200.0,0,5.182905504651325,,,nan,0.01,7.97978454581727,,,731.2,811.9,80.69999999999993,,,,,,2021,48138.899999999994,48816.8,-40935.3,2744.7,11.69,88205.09999999999,88258.5,-77838.5,3746.6,15.95,147951.59999999998,147072.1,-130534.7,8450.2,35.620000000000005,,743.45,752.75,705.3,714.85
2021-03-22,753.95,771.1,744.6,763.85,761.8346234660813,530178,8797,403907957.0,63666,12.01,26.5,9.9,1616351400.0,0,1.5893070887086136,,,nan,0.03,6.290502061923142,,,731.2,811.9,80.69999999999993,,,,,,2021,48138.899999999994,48816.8,-40935.3,2744.7,11.69,88205.09999999999,88258.5,-77838.5,3746.6,15.95,147951.59999999998,147072.1,-130534.7,8450.2,35.620000000000005,,709.4,756.75,690.1,751.9
2021-03-23,768.9,774.0,756.05,766.3,767.151296573726,371132,7596,284714395.0,100610,27.11,17.95,-2.6,1616437800.0,0,0.32074360149243475,,,nan,0.01,5.95067206055071,,,731.2,811.9,80.69999999999993,,,,,,2021,48138.899999999994,48816.8,-40935.3,2744.7,11.69,88205.09999999999,88258.5,-77838.5,3746.6,15.95,147951.59999999998,147072.1,-130534.7,8450.2,35.620000000000005,,753.95,771.1,744.6,763.85
2021-03-24,760.0,769.55,734.15,737.35,751.8925831202047,391000,9436,293990000.0,136519,34.92,35.4,-22.65,1616524200.0,0,-3.777893775283825,,,nan,0.02,10.11053095544856,,,731.2,811.9,80.69999999999993,,,,,,2021,48138.899999999994,48816.8,-40935.3,2744.7,11.69,88205.09999999999,88258.5,-77838.5,3746.6,15.95,147951.59999999998,147072.1,-130534.7,8450.2,35.620000000000005,,768.9,774.0,756.05,766.3
2021-03-25,742.75,743.75,712.0,731.2,730.4783325649845,338388,5814,247185102.0,41812,12.36,31.75,-11.55,1616610600.0,0,-0.8340679460229206,,,nan,0.02,11.036652078774601,,,731.2,811.9,80.69999999999993,,,,,,2021,48138.899999999994,48816.8,-40935.3,2744.7,11.69,88205.09999999999,88258.5,-77838.5,3746.6,15.95,147951.59999999998,147072.1,-130534.7,8450.2,35.620000000000005,,760.0,769.55,734.15,737.35
2021-03-26,743.0,757.4,735.35,744.15,745.7261783801471,406469,8005,303114574.0,90487,22.26,22.05,1.15,1616697000.0,0,1.77106126914659,,,nan,0.02,9.104347241819521,,,744.15,811.9,67.75,,,,,,2021,48138.899999999994,48816.8,-40935.3,2744.7,11.69,88205.09999999999,88258.5,-77838.5,3746.6,15.95,147951.59999999998,147072.1,-130534.7,8450.2,35.620000000000005,,742.75,743.75,712.0,731.2
2021-03-30,752.95,761.8,743.2,752.35,752.6104798865354,192483,4026,144864723.0,51699,26.86,18.6,-0.6,1617042600.0,0,1.1019283746556585,,,nan,0.02,7.9151990429986,,,751.25,811.9,60.64999999999998,,,,,,2021,48138.899999999994,48816.8,-40935.3,2744.7,11.69,88205.09999999999,88258.5,-77838.5,3746.6,15.95,147951.59999999998,147072.1,-130534.7,8450.2,35.620000000000005,,743.0,757.4,735.35,744.15
2021-03-31,748.5,765.9,743.1,751.25,757.0790173142938,278787,6109,211063788.0,51011,18.3,22.8,2.75,1617129000.0,0,-0.1462085465541385,,,nan,0.03,8.07321131447587,,,751.25,811.9,60.64999999999998,,,,,,2021,48138.899999999994,48816.8,-40935.3,2744.7,11.69,88205.09999999999,88258.5,-77838.5,3746.6,15.95,147951.59999999998,147072.1,-130534.7,8450.2,35.620000000000005,,752.95,761.8,743.2,752.35
2021-04-01,761.95,791.75,756.0,779.2,777.0008871436884,275040,5429,213706324.0,29120,10.59,35.75,17.25,1617215400.0,0,3.7204658901830445,,,nan,0.02,4.196611909650905,,,761.9,811.9,50.0,,,,,,2021,48138.899999999994,48816.8,-40935.3,2744.7,11.69,88205.09999999999,88258.5,-77838.5,3746.6,15.95,147951.59999999998,147072.1,-130534.7,8450.2,35.620000000000005,,748.5,765.9,743.1,751.25
2021-04-05,780.0,787.75,748.65,761.9,763.7262094128528,413031,11589,315442600.0,89625,21.7,39.1,-18.1,1617561000.0,0,-2.2202258726899515,,,nan,0.03,6.56254101588134,,,761.9,811.9,50.0,,,,,,2021,48138.899999999994,48816.8,-40935.3,2744.7,11.69,88205.09999999999,88258.5,-77838.5,3746.6,15.95,147951.59999999998,147072.1,-130534.7,8450.2,35.620000000000005,,761.95,791.75,756.0,779.2
2021-04-06,770.7,814.5,760.45,808.95,799.0751767379502,770491,18538,615680232.0,221194,28.71,54.05,38.25,1617647400.0,0,6.175351095944359,,,nan,0.02,0.36467025156066146,,,808.95,811.9,2.949999999999932,,,,,,2021,48138.899999999994,48816.8,-40935.3,2744.7,11.69,88205.09999999999,88258.5,-77838.5,3746.6,15.95,147951.59999999998,147072.1,-130534.7,8450.2,35.620000000000005,,780.0,787.75,748.65,761.9
2021-04-07,819.9,824.65,806.0,811.9,814.2009181992988,326073,6757,265488936.0,47443,14.55,18.65,-8.0,1617733800.0,0,0.36467025156066146,,,--,0.02,0.0,,--,811.9,811.9,0.0,,,,,,2021,48138.899999999994,48816.8,-40935.3,2744.7,11.69,88205.09999999999,88258.5,-77838.5,3746.6,15.95,147951.59999999998,147072.1,-130534.7,8450.2,35.620000000000005,,770.7,814.5,760.45,808.95
