,security code,security name,revenue,income,expenditure,profit,eps,year,quartile
0,532538,ULTRACEMCO,11734.1,11992.1,-1993.2,1858.6,14.93,2007,3
1,532538,ULTRACEMCO,13821.4,14022.7,-2367.3,2794.9,22.45,2007,4
2,532538,ULTRACEMCO,16016.6,16286.9,-2824.0,2828.8,22.72,2008,1
3,532538,ULTRACEMCO,14959.8,15225.8,-2551.4,2650.1,21.29,2008,2
4,532538,ULTRACEMCO,14168.9,14240.4,-2343.0,1641.9,13.19,2008,3
5,532538,ULTRACEMCO,16371.4,63.8,-2707.7,2383.6,19.15,2008,4
6,532538,ULTRACEMCO,18750.1,148.8,-3108.7,3094.6,24.86,2009,1
7,532538,ULTRACEMCO,19688.6,160.8,-3049.0,4177.7,33.56,2009,2
8,532538,ULTRACEMCO,15578.3,170.2,-2860.8,2509.0,20.15,2009,3
9,532538,ULTRACEMCO,16693.0,16518.1,-2929.9,1960.3,15.75,2009,4
10,532538,ULTRACEMCO,19225.3,131.8,-3485.4,2285.4,18.36,2010,1
11,532538,ULTRACEMCO,18096.7,198.3,-3586.1,2427.3,19.5,2010,2
12,532538,ULTRACEMCO,32445.0,298.0,-6504.9,1157.7,4.22,2010,3
13,532538,ULTRACEMCO,37408.7,256.3,-7284.6,3189.6,11.64,2010,4
14,532538,ULTRACEMCO,45559.3,658.0,-8205.2,7267.7,26.52,2011,1
15,532538,ULTRACEMCO,44043.9,390.3,-7691.2,6831.1,24.93,2011,2
16,532538,ULTRACEMCO,39806.2,708.7,-7479.5,2789.0,10.18,2011,3
17,532538,ULTRACEMCO,46508.1,789.4,-8402.6,6168.6,22.51,2011,4
18,532538,ULTRACEMCO,53915.7,53365.9,-2195.4,8673.2,31.65,2012,1
19,532538,ULTRACEMCO,50908.6,50747.6,-6925.1,7783.9,28.4,2012,2
20,532538,ULTRACEMCO,47274.2,46995.7,-7975.4,5500.3,20.07,2012,3
21,532538,ULTRACEMCO,48820.8,48574.0,-7834.4,6008.1,21.92,2012,4
22,532538,ULTRACEMCO,54720.4,53892.1,-8280.2,7262.0,26.49,2013,1
23,532538,ULTRACEMCO,49802.0,49575.4,-7860.1,6726.0,24.53,2013,2
24,532538,ULTRACEMCO,45218.7,45021.0,-8503.6,2641.1,9.63,2013,3
25,532538,ULTRACEMCO,48178.5,47863.7,-8394.4,3697.6,13.49,2013,4
26,532538,ULTRACEMCO,59598.8,58318.7,-9279.4,8380.0,30.56,2014,1
27,532538,ULTRACEMCO,56920.9,56494.6,-9463.9,6255.7,22.81,2014,2
28,532538,ULTRACEMCO,54293.4,53818.0,-9697.2,4100.5,14.95,2014,3
29,532538,ULTRACEMCO,56014.4,54897.7,-9390.2,3643.7,13.28,2014,4
30,532538,ULTRACEMCO,62133.0,61354.5,-9643.7,6147.4,22.41,2015,1
31,532538,ULTRACEMCO,60974.8,60382.1,-9375.6,5907.9,21.53,2015,2
32,532538,ULTRACEMCO,56816.5,56208.8,-10414.7,3938.9,14.35,2015,3
33,532538,ULTRACEMCO,58258.1,57472.7,-9787.9,5085.6,18.53,2015,4
34,532538,ULTRACEMCO,65036.6,64359.1,-10363.5,6814.1,24.83,2016,1
35,532538,ULTRACEMCO,62325.3,61823.3,-9021.1,7749.2,28.24,2016,2
36,532538,ULTRACEMCO,61956.5,61346.3,-9301.1,6010.5,21.9,2016,3
37,532538,ULTRACEMCO,63722.0,63032.3,-8778.9,5634.2,20.53,2016,4
38,532538,ULTRACEMCO,74994.0,77395.0,-3356.8,6883.3,25.08,2017,1
39,532538,ULTRACEMCO,75202.8,76854.5,-9261.4,8906.2,32.44,2017,2
40,532538,ULTRACEMCO,65713.1,67393.5,-9706.7,4312.4,15.71,2017,3
41,532538,ULTRACEMCO,75898.6,77454.3,-11541.4,4214.7,15.36,2017,4
42,532538,ULTRACEMCO,90024.8,91084.0,-12288.5,4879.5,17.78,2018,1
43,532538,ULTRACEMCO,86550.0,87281.3,-11015.8,5983.9,21.79,2018,2
44,532538,ULTRACEMCO,77712.7,79905.6,-10583.2,3908.0,14.23,2018,3
45,532538,ULTRACEMCO,88127.2,89370.8,-12106.5,4490.6,16.35,2018,4
46,532538,ULTRACEMCO,105002.7,106404.1,-11789.5,10174.7,37.08,2019,1
47,532538,ULTRACEMCO,97948.3,99484.5,-11545.7,11987.0,43.68,2019,2
48,532538,ULTRACEMCO,92538.16,94358.55,-13452.9,6391.9,22.16,2019,3
49,532538,ULTRACEMCO,99817.5,101457.6,-15133.7,6431.5,22.3,2019,4
50,532538,ULTRACEMCO,103603.1,105842.2,-13117.1,29063.2,100.77,2020,1
51,532538,ULTRACEMCO,73736.3,76697.4,-7849.7,8055.7,27.93,2020,2
52,532538,ULTRACEMCO,100185.8,101650.4,-11978.3,12086.7,41.9,2020,3
53,532538,ULTRACEMCO,118306.2,120922.5,-14139.0,15502.8,53.75,2020,4
